"","Hatchery","Wild","H_percent","W_percent"
"Null",1760.38788493763,998.259678436306,0,0
"Marine",1475.15734448753,921.631964313187,0.162027098056405,0.076761303474813
"Day",1718.59745578607,952.090204565062,0.0237393301266927,0.0462499636803566
"Day/year",1151.38736790787,802.378257809329,0.345946778116653,0.19622291159131
"Day + day/year",1151.3873679082,800.444759889592,0.345946778116466,0.198159780285401
"Marine covariates + day + day/year",1144.06057700903,790.778611638674,0.350108810224192,0.207842780069645
